5099323000373, 0.629167, 15.10, GROCERY, CANNED/BOTTLED/VEG, 0.75, SPAR PEAS PROCESSED, 0.0000, 5099323080863, N
5099323000380, 0.657083, 15.77, GROCERY, CANNED/BOTTLED/VEG, 0.75, SPAR BEANS, 0.0000, , I
5099323000540, 1.26417, 15.17, SPAR, SPAR, 1.55, SPAR JAM BLACKCURRANT, 0.0000, 5098922003709, I
5099323000526, 1.26417, 15.17, SPAR, SPAR, 1.61, SPAR JAM RASPBERRY, 0.0000, 5098922003693, I
5099323000533, 1.26417, 15.17, SPAR, SPAR, 1.61, SPAR JAM STRAWBERRY, 0.0000, 5098922003686, I
5099323000557, 1.25, 15.00, GROCERY, JAMS/HONEY/SPREADS, 1.59, SPAR MARM COARSE CUT, 0.0000, 5098922003730, I
5099323000564, 1.25, 15.00, SPAR, SPAR, 1.59, SPAR MARM MEDIUM CUT, 0.0000, 5098922003723, I
5099323000571, 1.25, 15.00, GROCERY, JAMS/HONEY/SPREADS, 1.59, SPAR MARM JELLY, 0.0000, 5098922003716, I
5099323000625, 1.03833, 12.46, DAIRY PRODUCTS, FRUIT JUICE, 1.79, SPAR JUICE ORANGE, 0.2300, 05099323081655, N
5099323000717, 0.659167, 7.91, GROCERY, CANNED/BOTTLED/VEG, 0.85, SPAR CARROTS WHOLE JAR, 0.0000, 05099323080870, N
5099323001806, 0.481, 4.81, HOUSE HOLD , BATTERIES/BULBS/ELECTRICA, 0.83, SPAR BULBS PEARL 60W, 0.2300, 5099683003489, I
5099323001813, 0.481, 4.81, SPAR, SPAR, 0.84, SPAR BULBS 100W, 0.2300, 5099683003502, I
5099323000335, 1.44417, 17.33, GROCERY, SAUCE/GRAVY/STUFFING, 1.76, SPAR TOMATO KETCHUP, 0.0000, 5099323081914, I
5099323000014, 0.811667, 9.74, DAIRY PRODUCTS, WASHING POWDERS/LIQUIDS, 1.39, SPAR WASH UP LIQ LEMON, 0.2300, 5099463013653, I
5099323000250, 1.50875, 12.07, HOUSE HOLD , WASHING POWDERS/LIQUIDS, 3.49, SPAR AUTO BIOLOGICAL., 0.2300, 5099323081853, N
389585, 1.905, 19.05, HOUSE HOLD , BATTERIES/BULBS/ELECTRICA, 1.05, SPAR RETAIL STAFF MANUAL, 0.2300, , I
5010358067353, 1.06125, 8.49, DRINKS , PET/GLASS BOTTLES, 1.55, SPAR AMERICAN COLA DIET, 0.2300, 05010358067346, N
400994, 29.2, 29.20, DAIRY PRODUCTS, PET/GLASS BOTTLES, 1.69, SPAR FLAGS, 0.2300, , I
5099323001059, 0.495, 3.96, DRINKS , PET/GLASS BOTTLES, 0.75, SPAR LEMONADE RED, 0.2300, 5099323080924, I
409771, 4.16, 4.16, DAIRY PRODUCTS, PET/GLASS BOTTLES, 0.99, HAMPER BASKET, 0.2300, , I
5099323002476, 1.23628, 14.84, DAIRY PRODUCTS, SAUCE/GRAVY/STUFFING, 1.89, SPAR SAUCE CURRY, 0.0000, 5011050500308, I
5099323001875, 1.102, 11.02, HOUSE HOLD , PAPER PRODUCT, 3.21, SPAR T ROLL LUXURY WHITE, 0.2300, 5011012833291, I
50993230036712., 1.481, 14.81, STATIONERY , PAPER PRODUCTS, 1.69, SPAR T ROLL LUXURY PEACH, 0.2300, 5011012834052, I
5412210822115, 1.706, 25.59, GROCERY, COOKING/OLIVE OIL, 2.09, SPAR COOKING OIL VEGETABL., 0.0000, 5099323080801, I
5099323003794, 1.0075, 12.09, GROCERY, SAUCE/GRAVY/STUFFING, 1.26, SPAR TOMATO KET SQUEEZY, 0.0000, 5099323080849, I
5099323004067, 1.02667, 12.32, DAIRY PRODUCTS, FRUIT JUICE, 1.59, SPAR JUICE APPLE, 0.2300, 04512267755990, N
8710671006301, 0.640909, 7.05, GROCERY, BISCUITS, 1.55, SPAR COOKIES CHOC CHIP., 0.1350, 8710671006400, N
557041, 0.0216514, 21.65, DAIRY PRODUCTS, MATCHES/LIGHTERS..ETC, 0.89, SPAR DELI BAG 6X9X14, 0.2300, , I
5099323000076, 1.52667, 18.32, STATIONERY , PAPER PRODUCTS, 2.29, SPAR TISSUES MANSIZE, 0.2300, 05011012840749, N
5011010282329, 0.934533, 11.21, GROCERY, PASTA/RICE, 1.29, ROMA RICE INSTANT, 0.0000, 5011010011356, I
5099323005248, 0.13206, 16.51, EXPENSE ITEMS/CATERING, EXPENSE ITEMS NON FOOD, 0.15, SPAR PAPER BAG LARGE, 0.2300, 5099323081433, I
5099323000649, 0.959167, 11.51, SPAR, SPAR, 1.51, SPAR T ROLL FAMILY WHITE, 0.2300, 5099323084038, I
5099323000656, 1.906, 19.06, SPAR, SPAR, 2.99, SPAR T ROLL FAMILY WHITE, 0.2300, 5011012835363, I
5099323005682, 1.23333, 14.80, DAIRY PRODUCTS, FRUIT JUICE, 1.69, SPAR JUICE CRANBERRY, 0.2300, 05099323081693, N
613919, 0.01, 0.01, DAIRY PRODUCTS, PAPER PRODUCTS, 2.89, SPAR SEASONAL FLYER, 0.2300, , I
5390548111890, 2.0864, 52.16, HOUSE HOLD , HOUSHOLD MISC., 3.34, SPAR SACKS GREEN GARDEN, 0.2300, 05390548112170, N
50201235, 0.4825, 23.16, CONFECTIONERY, COUNT LINES, 1.10, CAD BUTTONS MILK, 0.2300, 05000201029355, I
5034660505181, 0.312833, 18.77, CONFECTIONERY, COUNT LINES, 0.70, CAD CURLY WURLY, 0.2300, 05034660008279, N
5000201499141x1, 0.337083, 24.27, CONFECTIONERY, COUNT LINES, 0.75, CAD DAIRY MILK, 0.2300, 5000201999481, I
5000201499011, 0.484167, 17.43, CONFECTIONERY, COUNT LINES, 1.30, CAD SNACK SHORTCAKE, 0.2300, 05000183750049, N
024000011859, 1.34583, 16.15, GROCERY, CANNED FRUIT, 1.80, DELMONT PINE SLICE25, 0.0000, 24000038627, I
5000201473509, 1.50625, 12.05, CONFECTIONERY, MULTI-PACKS, 2.00, CAD CRUNCHIE TREATSIZE, 0.2300, 5034660020202, I
5000201490667, 3.34833, 40.18, CONFECTIONERY, BOXED/ASSORTMENTS, 6.99, MILK TRAY, 0.2300, 5000201010469, I
5000201490735, 10.785, 21.57, CONFECTIONERY, BOXED/ASSORTMENTS, 18.69, MILK TRAY CASKET STD, 0.2300, 5000201010544, I
50952410, 0.365667, 21.94, CONFECTIONERY, COUNT LINES, 0.80, CAD SNACK SANDWICH, 0.2300, 05000201499523, I
5000183948101, 0.745417, 17.89, GROCERY, BISCUITS, 2.50, CAD FINGERS MILK, 0.2300, 5000183448106, I
5000183055427, 1.10042, 26.41, GROCERY, BISCUITS, 2.00, CAD COOKIE CHOC CHIP, 0.1350, , I
5034660021537x1, 1.62833, 19.54, GROCERY, COFFEE/TEA..ETC., 2.40, CAD DRINKING CHOCOLATE, 0.0000, 5034660513759, I
5000201499196, 1.25, 30.00, CONFECTIONERY, COUNT LINES, 1.80, CAD WHOLENUT LGE, 0.2300, 05034660035961, I
5000201499202, 1.25, 30.00, CONFECTIONERY, COUNT LINES, 2.00, CAD FRUIT & NUT LGE, 0.2300, 05034660035947, I
5000199051017, 1.72208, 41.33, HEALTH & BEAUTY, DENTAL CARE, 3.40, AQUAFRESH TOOTHPASTE FR&M, 0.2300, 5000199970738, I
50982547, 1.96417, 23.57, HEALTH & BEAUTY, MEDICINAL, 3.30, BEECHAM HOT LEMON, 0.0000, 5011080995990, I
5000134041752, 1.89917, 22.79, GROCERY, COFFEE/TEA..ETC., 2.49, HORLICKS, 0.0000, 5000376944729, I
5000184311522, 0.77375, 18.57, HOUSE HOLD , DESSERTS, 1.09, >AMBROSIA RICE CREAM24/2, 0.0000, 5011002620115, I
011210115255, 2.09333, 25.12, GROCERY, SAUCE/GRAVY/STUFFING, 2.79, TABASCO SAUCE ORIGINAL, 0.0000, 5015612203157, I
5099513117201, 8.575, 85.75, TOBACCO , CIGS 20S, 11.50, MAJOR EXTRA SIZE 20PK, 0.2300, 5099513117225, N
3057640100673x, 0.520417, 12.49, DRINKS , WATER, 1.09, VOLVIC WATER, 0.2300, 3057640111648, I
5099513101200, 8.395, 83.95, TOBACCO , CIGS 20S, 11.25, CARROLLS -NO 1 20PK, 0.2300, 5099513101224, N
002-005, 0.6315, 12.63, OPEN , OPEN, 6.17, JOB TRAD PIZZA CRUST, 0.0000, , I
5099513109206, 8.574, 85.74, TOBACCO , CIGS 20S, 11.50, ROTHMANS K/SIZE 20PK, 0.2300, 5099513100012, N
50393121, 8.566, 85.66, TOBACCO , CIGS 20S, 11.50, CONSULATE MENTH 20PK, 0.2300, 5000393778321, N
50393510, 8.592, 85.92, TOBACCO , CIGS 20S, 11.50, DUNHILL INTER 20PK, 0.2300, 5000393552860, N
5019989102945, 0.684167, 8.21, GROCERY, SALT/PEPPER/SPICES/HERBS, 1.99, SAXA SALT POLYDRUM PM, 0.0000, 5019989102945, I
5010024103729, 0.991667, 11.90, GROCERY, SAUCE/GRAVY/STUFFING, 1.50, PAXO GOLDEN CRUMBS, 0.0000, 5010024232368, I
50993970, 0.8925, 10.71, GROCERY, SALT/PEPPER/SPICES/HERBS, 1.60, SAXA PEPPER WHITE GROUND, 0.0000, 05011098500032, N
5011098001041, 1.63417, 19.61, GROCERY, SALT/PEPPER/SPICES/HERBS, 2.10, SAXA PEPPER WHITE GROUND, 0.0000, 05011098500056, I
5010024103644, 0.871667, 10.46, GROCERY, SALT/PEPPER/SPICES/HERBS, 1.20, SAXA PEPPER BLACK GROUND., 0.0000, 05010024203641, I
53996084, 8.221, 82.21, TOBACCO , CIGS 20S, 11.00, JOHN PLAYER BLUE 20PK, 0.2300, 5099121105720, N
50432226, 8.226, 82.26, TOBACCO , CIGS 20S, 11.00, SUPERKINGS BLUE 20PK, 0.2300, 5000432001229, N
50432219, 8.226, 82.26, TOBACCO , CIGS 20S, 11.00, SUPERKINGS 20PK, 0.2300, 5000432001212, N
8.6053996039, 8.612, 86.12, TOBACCO , CIGS 20S, 11.50, PLAYERS NAVY CUT 20PK, 0.2300, 5099121255722, I
000062, 3.122, 31.22, TOBACCO , CIGARS, 3.95, CAFE CREME STANDARD, 0.2300, 8720400075249, I
50973620, 0.23, 23.00, TOBACCO , MATCHES/LIGHTERS..ETC, 0.60, RIZLA PAPER RED, 0.2300, 5010891010809, N
50973613, 0.23, 23.00, TOBACCO , CIGARS, 0.60, RIZLA PAPER GREEN, 0.2300, 5010891012407, N
5099823001252, 1.78, 1.78, TOBACCO , CIGS 20S, 6.12, M&K CHOC CHIP BUNS, 0.1350, , I
5011054123206, 8.433, 84.33, TOBACCO , CIGS 20S, 11.30, SILK CUT SILVER 100S 20PK, 0.2300, 5011054123213, N
5449000051561, 3.2475, 12.99, DRINKS , CANS, 5.00, COCA COLA CAN DIET 6X330M, 0.2300, 5449000055286, N
5010074538847, 0.72, 0.72, TOBACCO , CIGS 20S, 6.12, F BAKE PINK N WHITES, 0.1350, , I
